,index2000,Player,Tm_2000,Pos,Age_2000,G_2000,GS_2000,Tgt_2000,Rec_2000,PassingYds_2000,PassingTD_2000,PassingAtt_2000,RushingYds_2000,RusingTD_2000,RushingAtt_2000,RecevingYds_2000,RecevingTD_2000,FantasyPoints_2000,Int_2000,Fumbeles_2000,FumblesLost_2000,Index_2001,Tm_2001,Age_2001,G_2001,GS_2001,Tgt_2001,Rec_2001,Passingyds_2001,PassingTD_2001,PassingAtt_2001,RushingYds_2001,RushingTD_2001,RushingAtt_2001,ReceivingYds_2001,ReceivingTD_2001,FantasyPoints_2001,Int_2001,Fumbles_2001,FumblesLost_2001,Index_2002,Tm_2002,Age_2002,G_2002,GS_2002,Tgt_2002,Rec_2002,PassingYds_2002,PassingTD_2002,PassingAtt_2002,Rushingyds_2002,RushingTD_2002,RushingAtt_2002,ReceivingYds_2002,ReceivingTD_2002,FantasyPoints_2002,Int_2002,Fumbles_2002,FumblesLost_2002,index2003,Tm_2003,Age_2003,G_2003,GS_2003,Tgt_2003,Rec_2003,PassingYds_2003,PassingTD_2003,PassingAtt_2003,RushingYds_2003,RusingTD_2003,RushingAtt_2003,RecevingYds_2003,RecevingTD_2003,FantasyPoints_2003,Int_2003,Fumbeles_2003,FumblesLost_2003,Index_2004,Tm_2004,Age_2004,G_2004,GS_2004,Tgt_2004,Rec_2004,Passingyds_2004,PassingTD_2004,PassingAtt_2004,RushingYds_2004,RushingTD_2004,RushingAtt_2004,ReceivingYds_2004,ReceivingTD_2004,FantasyPoints_2004,Int_2004,Fumbles_2004,FumblesLost_2004,Index_2005,Tm_2005,Age_2005,G_2005,GS_2005,Tgt_2005,Rec_2005,PassingYds_2005,PassingTD_2005,PassingAtt_2005,Rushingyds_2005,RushingTD_2005,RushingAtt_2005,ReceivingYds_2005,ReceivingTD_2005,FantasyPoints_2005,Int_2005,Fumbles_2005,FumblesLost_2005
970,,Brock Forsey,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,CHI,23.0,9.0,2.0,5.0,3.0,0.0,0.0,0.0,191.0,2.0,50.0,37.0,0.0,37.8,0.0,0.0,0.0,421.0,MIA,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,19.0,0.0,0.0,5.3,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
971,,Brandon Lloyd,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0,SFO,22.0,16.0,1.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,2.0,47.2,0.0,0.0,0.0,124.0,SFO,23.0,13.0,13.0,89.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,6.0,135.5,0.0,0.0,0.0,110.0,SFO,24.0,16.0,15.0,109.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,5.0,149.3,0.0,1.0,1.0
972,,Terry Jones,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,BAL,24.0,16.0,13.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,3.0,52.9,0.0,0.0,0.0,299.0,BAL,25.0,15.0,11.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,1.0,41.2,0.0,0.0,0.0,390.0,2TM,26.0,8.0,5.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,16.6,0.0,0.0,0.0
973,,Bethel Johnson,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,NWE,24.0,15.0,5.0,34.0,16.0,0.0,0.0,0.0,-12.0,0.0,1.0,209.0,2.0,47.7,0.0,0.0,0.0,289.0,NWE,25.0,13.0,1.0,21.0,10.0,0.0,0.0,0.0,8.0,0.0,2.0,174.0,1.0,34.2,0.0,2.0,0.0,344.0,NWE,26.0,11.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,16.7,0.0,1.0,0.0
974,,Chris Brown,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,TEN,22.0,11.0,0.0,9.0,8.0,0.0,0.0,0.0,221.0,0.0,56.0,61.0,0.0,36.2,0.0,1.0,0.0,77.0,TEN,23.0,11.0,11.0,33.0,20.0,0.0,0.0,0.0,1067.0,6.0,220.0,147.0,0.0,169.4,0.0,6.0,4.0,52.0,TEN,24.0,15.0,14.0,37.0,25.0,0.0,0.0,0.0,851.0,5.0,224.0,327.0,2.0,178.8,0.0,4.0,3.0
975,,Casey Fitzsimmons,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,DET,23.0,16.0,11.0,40.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2.0,51.0,0.0,0.0,0.0,376.0,DET,24.0,16.0,2.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,20.3,0.0,0.0,0.0,356.0,DET,25.0,14.0,2.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,20.5,0.0,0.0,0.0
976,,George Wrighster,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,JAX,22.0,15.0,1.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,2.0,40.0,0.0,0.0,0.0,357.0,JAX,23.0,4.0,3.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.0,22.9,0.0,1.0,0.0,290.0,JAX,24.0,16.0,6.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,2.0,37.0,0.0,0.0,0.0
977,,Jeremi Johnson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,CIN,23.0,16.0,13.0,20.0,15.0,0.0,0.0,0.0,41.0,1.0,15.0,82.0,1.0,39.3,0.0,0.0,0.0,362.0,CIN,24.0,16.0,6.0,18.0,16.0,0.0,0.0,0.0,5.0,0.0,3.0,53.0,1.0,25.8,0.0,1.0,1.0,278.0,CIN,25.0,16.0,11.0,19.0,12.0,0.0,0.0,0.0,14.0,0.0,8.0,65.0,3.0,37.9,0.0,2.0,0.0
978,,Rex Grossman,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,CHI,23.0,3.0,3.0,0.0,0.0,437.0,2.0,72.0,-1.0,0.0,3.0,0.0,0.0,23.38,1.0,3.0,0.0,254.0,CHI,24.0,3.0,3.0,0.0,0.0,607.0,1.0,84.0,48.0,1.0,11.0,0.0,0.0,29.08,3.0,2.0,2.0,366.0,CHI,25.0,2.0,1.0,0.0,0.0,259.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,10.36,2.0,0.0,0.0
979,,Jimmy Farris,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,ATL,25.0,16.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,28.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,460.0,WAS,27.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.8,0.0,0.0,0.0
