,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
250,Chris Samuels,OT,Alabama,6-5,325.0,5.08,0.0,0.0,0.0,0.0,0.0
251,Lewis Sanders,CB,Maryland,6-0,202.0,4.5,37.0,10.0,116.0,0.0,0.0
252,Ketric Sanford,RB,Houston,5-7,199.0,4.6,32.0,12.0,118.0,6.63,4.3
253,Sekou Sanyika,OLB,California,6-3,241.0,4.75,32.5,0.0,111.0,7.33,4.38
254,Manuia Savea,OG,Arizona,6-2,308.0,5.34,25.0,24.0,92.0,0.0,0.0
255,Gari Scott,WR,Michigan State,6-0,194.0,4.59,33.5,0.0,119.0,0.0,0.0
256,Tony Scott,CB,North Carolina State,5-10,193.0,4.5,34.0,11.0,116.0,7.45,4.24
257,Richard Seals,DT,Utah,6-2,316.0,5.13,28.5,24.0,102.0,7.78,4.6
258,Aaron Shea,FB,Michigan,6-4,253.0,4.81,37.5,0.0,114.0,6.72,4.3
259,Jacoby Shepherd,CB,Oklahoma State,6-1,195.0,4.53,35.0,5.0,120.0,0.0,0.0
260,Samson Sherrod,OLB,San Jose State,6-3,262.0,4.78,0.0,0.0,0.0,0.0,0.0
261,Wes Shivers,OT,Mississippi State,6-5,318.0,5.65,22.5,18.0,98.0,8.48,4.81
262,Brandon Short,ILB,Penn State,6-3,252.0,4.72,0.0,0.0,0.0,0.0,0.0
263,Kofi Shuck,WR,Wyoming,6-2,180.0,4.66,33.0,0.0,119.0,7.18,4.1
264,Corey Simon,DT,Florida State,6-2,297.0,4.83,0.0,0.0,0.0,0.0,0.0
265,Mark Simoneau,OLB,Kansas State,6-0,237.0,4.6,36.0,24.0,117.0,7.08,4.09
266,Peter Sirmon,ILB,Oregon,6-2,246.0,4.84,34.5,20.0,115.0,7.21,4.27
